sentiment,review_body,product_category
1,A must for every closet. very flattering fit - although i think the white is slightly boxier than the chambray.,Blouses
1,I ordered this in an xl and when i pulled it out of the bag  it seemed huge. (i wear both l and xl  depending on the sizing) when i tried it  it did look like the photo - it's meant to be a little voluminous. the arms were a little snug  so sizing down was out of the question. it looks great tucked in to a pair of flair jeans. i gave the asthetic four stars because of the design  which is just a teeny bit off. the lace is delicate too  btw  so care will be needed not to snag it.,Blouses
1,Although this is an online only  i was lucky enough to stumble along a return in the store. this is the same quality and soft fabric that i expect from tyhlo. it doesn't show as much in the model photos  but this top has a subtle high-low effect  which adds a bit of elegance to the top.    i took my usual size xs in the tyhlo brand. however  note that i am small busted (~34b/c) and this was already starting to pull some across the chest. my biggest critique it that this pulling caused a small ga,Blouses
1,I am always on the hunt for a white shirt that is not too sheer  so that i can wear it without a cami underneath. on that count  this top is a winner! regarding the fit  it is a shorter top  so i am not sure that it would be able to be tucked in a bottom for most people. i am short waisted  and i wouldn't be able to tuck it in. in fact  i think it is really meant to have an almost cropped fit. fyi: 36c (34d)  broad shoulders/back  short waist - in a fitted shirt i take a 10/12  but i tried this,Blouses
1,This top does look as pictured  the sleeves hit me the same and the size was true... i just didn't like it... it was shorter than i wanted in length and i just didn't feel like this top was worth the price so it's going back. i feel like i have had shirts with this texture and over time  they just didn't wear as well so i was afraid with 3 kids it wouldn't be a good idea. i paired it with a blazer and it looked great  but on it's on  i don't know  just not for me. for reference  i am 5'8'' 128lb,Blouses
-1,"This could seriously fit a large and it's an xs. so frustrating!! this is the fourth retailer dress that is ordered that is just enormous. i get the whole ""loose fit"" style  but seriously??? you've taken it to a whole new level  retailer!!! another trip to the store to return another item. a complete waste of my time. ugh.",Dresses
-1,Awful color  horribly wrinkled and just a mess...so disappointed,Dresses
-1,I am 5 '5 and 119 pounds with an athletic cury body type. the dress wore bulky and ran large at size 2.,Dresses
-1,The dress didn't meet my expectations  specifically the color  the texture  and the cut of the dress. although the dress was very well made  it just wasn't right for me.,Dresses
-1,"This dress did not work well on my figure. i have a small waist and broad hips  and the dress (size m for 140 lbs  5'8"") was too boxy. i didn't have objections to the fabric  like other reviewers - honestly  even if there were a snag or two  the fabric is kind of rustic and i don't think a snag would look terrible  depending on where it is. i should note that one of the ornamental buttons immediately fell off the dress upon arrival. my friend got the same dress in a size s and it worked better f",Dresses
-1,"This is a really nice quality dress. it is a low-cut v-neck but the fabric is form fitting so its not revealing when u move. i love the top part of the dress but the skirt just did nothing for me. it's a soft material but the skirt almost resembles a bath towel in look and feel. i am petite in size (5'0"" 100lbs). i will be returning due to the skirt being to loose on me in width rather than length. also  the center pleat of the skirt makes it look a bit odd. the skirt hit right at knee height.",Dresses
-1,I read all the reviews about the fabric being see through  but liked the dress enough to give it a shot. it is soooo see through. this trally could only be worn on a beach. very disappointed.,Dresses
-1,"At 5'4""  i guess i am just too short to pull this dress off! the colors are so pretty for summer  but there is just too much fabric... i felt like i was wearing a giant doily! however  there is not a doubt in my mind that taller girls would look fabulous in this!",Dresses
-1,Looks much nicer in the photo. i expected a much higher quality fabric. this fabric truly felt cheap. i expected a nicer dress for the price. the fit was unflattering on me. sent it back,Dresses
0,Super soft  super cute but too short for a dress  too long and too overwhelming for a shirt  and didn't like the look with leggings at all so sadly i'm returning. love the colors  feel and style but no way will sizing up or down fit in a way that was functional...having said that..fits tts i guess.,Dresses
0,I just tried on this dress in the store  in red  and i loved the off the shoulder design. the color is just as pictured online (a light poppy red). the neckline began a few inches below my collarbone and was super flattering. however  the skirt portion of this dress flared awkwardly at the hips  causing my hips to look much wider than they really are (and also disturbing the otherwise clean lines of the dress). it seemed to me that there was too much fabric at the back portion of the skirt than,Dresses
0,Cute dress but not for me.  the waist is too high and the sleeves are tight.  maybe on a different body type this dress would be perfect.  i returned it.,Dresses
0,I love how different this dress is in terms of the design. it catches light beautifully. the short  biased hem makes the dress fun and flirty. but  this dress is completely sheer. there is no lining which is very disappointing. i do have a short  nude slip that makes this dress work for me. you will need a slip  for sure! unless you are rhianna. the sizing runs a little large  i probably could size down given the loose cut but overall the proportions are flattering showing off my legs. i will re,Dresses
0,The fit is really flattering and cute but the fabric and finishings seem really cheap. it's a printed plaid - not woven.,Dresses
0,I love the colors in this dress  it's very feminine. however  i wish it came in petite because even the xs is too overwhelming on my frame.,Dresses
0,"There isn't much shape to this dress. it's fairly straight from top to bottom. i'm smaller on top with a small waist but slightly pear shaped. the top half was somewhat loose but the bottom half just clung too much. i'm 5'2"" and 107 lbs and bought a pxs for reference. also  i wore a tee shirt underneath and the dress shed all over it.",Dresses
0,I ordered the red version--it is incredibly cute  soft  vibrant  and a flattering a-line. however  this dress is sized oddly  running at least one or two sizes too small  particularly at the waistband. i ordered my usual size and one size up  and even the larger size was too snug in the waist.  yet at the same time  i had some gaping at the straps  and i have a full bust. even worse is the *impossible* side-zipper that is a workout to get past the seam at the waistband. trying to wrestle the zip,Dresses
0,"This dress has great potential. i happen to have a longer torso so the fit was off. as a previous review stated  it's short waisted and a lot a skirt which i agree  the hem is also funky. i am still deciding if i want to keep it  but if i do  i plan on altering the skirt to be narrower and hemming it a bit shorter too. for reference  i'm 5'3"" and weigh 110 and i purchased a size 0.",Dresses
1,Gorgeous blush color  soft flowing material made for a perfect outdoor summer wedding guest dress. the elastic around the waist could have been slightly tighter as the dress is a bit weighted but not loose enough to deter my purchase. i'm curvy and this dress was very flattering. i'm on the shorter side and didn't buy the petite (it wasn't available in store and i bought this the day before the wedding); i had to pick up the dress to walk up steps but was fine otherwise in 2 inch heels. i receiv,Dresses
1,The design and quality are fantastic! i had to order a little larger because of my bust and shoulders - it's still flattering though. can be dressed up or casual. i wish it came in more colors!,Dresses
1,I love this dress. i get so many compliments from strangers every time i where it. must buy.,Dresses
1,This dress will be perfect for the mid-september wedding i'm attending. september is a transitional month fashion-wise and this knit dress will be perfect. the shimmer (which isn't apparent from the website) makes it festive enough for a wedding.,Dresses
1,I just bought this dress in the store and i absolutely love it except for one thing. why are the sleeves on the actual dress so much shorter than the picture with the model? i suspect the model has long arms  not little t-rex arms  so why does the sleeve hit at the top of her wrist  while my lovely dress hits just past my elbow. it's a mystery. was the pictured item not what the store took delivery of? anyway  still a great dress  just trying to figure out if i should add lace or something to ma,Dresses
1,This is one of my favorite retailer dresses - it's flowy and makes me feel beautiful. i loved it so much that i bought it in two colors! it does run big  so i would size down but when you find your size  you'll love it!,Dresses
1,Beautiful dress! beautiful color and design. as the other reviewer says  it has an expose good quality gold color zipper on the back that doesn't show in the picture  however  it adds to its style and beauty! i love the dress and so happy that found it in my size finally!,Dresses
1,This dress is even more beautiful in person. it fits true to size and drapes nicely from the body without being tent-like  as some swing dresses are prone to be. the material is very nice and the pattern is stunning and unique. as someone else mentioned  you can pair this with a cardi for work. it's also perfect for a night out. it's easily dressed up or down. and looks amazing with a skinny belt. i'm happy i bought this one!,Dresses
1,The fabric is breathtaking  both the jewel tone colors and the burnt velvet that would flatter any skin tone. as usual  eva franco clothes run small so i went up a size  size regular 6 (i am 5ft2in  34b  26 waist  36 hips) fit well  the hem is below my knees  appropriate for work. but i think it would look better as a skirt or a sheath dress. the top part looks strange  does not enhance any curve and turns the dress to frumpy on short folks like me  thus one star off.,Dresses
-1,Did not work for me. material was a bit thin  poor quality  the tie doesn't quite work correctly. had a cheaper look to it. not the quality i'd normally expect. this is going back.,Fine gauge
-1,"This sweater is a cute design but did not work for me. i am 5'9"" and this is way to short/cropped and looks awkward. the quality was so so  it looked stretched out in the front. it's getting returned.",Fine gauge
-1,Runs small. arms very short and hits in the wrong place across your chest. would not recommend.,Fine gauge
-1,I wanted this sweater to work but sadly it failed. first  the pink was way to sheer for my liking. the sheerness caused a weird color overlap on the stomach area. then the band at the bottom was too tight causing a weird ballooning affect. a shirt underneath could work but it takes away from the beauty of the knit. the soft pink is gorgeous but not good for medium to light skinned folks.,Fine gauge
-1,Didn't like at all. itchy fabric  looked good on model but on on busty girl.,Fine gauge
-1,"I had this in my cart for a week before i took the plunge  because i thought it would make the cutest boho statement piece that could go from beach to casual evening outings. i'm 5'9""  so i got the m/l to ensure length. maybe that was wrong? if the ""laid flat width"" was included maybe that would have been more helpful  but this thing was massive and looked like a potato sack. the side slits (of course hidden in the photos) came up to just over my natural waist  enhancing that effect. i loved the",Fine gauge
-1,Huge bummer. this top is definitely a crop/midi-top. plus  it's cream  not white like shown in the photos. i'm returning it today.,Fine gauge
-1,I wanted to love this sweater. the lavender color and design with the pleated back was beautiful. however when i put it on  it added at least 20 pounds to my frame. unfortunately it's going back since the cut just doesn't work on my frame.,Fine gauge
-1,"Wanted to love this sweater for its beautiful colors and cute graphic  but the fit is uncomfortably small and it is so itchy i was yelling  ""get it off"" in the fitting room. bummer.",Fine gauge
0,Let me start by saying that i cannot wear wool. it doesn't matter what type it is or if it is combined with cashmere  it makes me itch so much that i just can't do it and i didn't not find this as itchy as others stated. that being said  you definitely need to size down. i am a standard small and purchased the xs and there is still a load of fabric. i still don't know what to think. i think it is okay but i am not sure it justifies the price point.,Fine gauge
0,I believe that this sweater is by moth and not knitted and knotted as noted in the description. for me  this tunic was just ok. i didn't think that the quality was great and it just didn't wow me  especially at this price point.,Fine gauge
0,This top is pretty and i'm sad it didn't work out for me. i'm 5'9  145 lbs and i found it to be short and boxy in the torso (tried on a s  m and l). also material in the front is super staticky - i hate that feeling.,Fine gauge
0,I usually wear petite which this was not so a little big for me. but nice color and good quality  but pricey for what it is. it's more like a $45 sweater not $100+,Fine gauge
0,"I like the design and the color of the cardigan (i got green). i like the details on the back. the cardigan is tts  the shoulder width and sleeves length seems perfect (for reference: 5'7""  125 lb  got size s).    the problem for me is that the cardigan is not as long as it looks in the photos for the rose color; the pictures for the beige show the length more accurately. it may work for a smaller lady  but i like my cardigans a bit longer and cozier.    also  it is not just that the material is",Fine gauge
0,I love the looks of this sweater on the model! after receiving it  it was still very pretty and stylish to look at. my problem is that i am petite  and the sweater seemed to run very large. it wasn't very fitted. i think the detailing in the back would look better fitted. it made me look rather dowdy and/or matronly unlike how it looks on the model. i think that was because it was just too big. i returned it.,Fine gauge
0,I love the back detail but doesn't feel that comfortable on. i bought in green. it's fitted so get size larger if you plan to layer up. i'm 107 and bought xs size. i should have ordered the s.,Fine gauge
0,Looks great on the model  but if you're curvy it looks very frumpy.,Fine gauge
0,I love belted sweaters  but this was way too low in front. it hung almost to my knees in front. i'm not a fan of that look.,Fine gauge
1,"I like this top. yes it is very cropped and fitted but that's the style as shown on the model in the picture. but its true this style may not fits everyone. it probably flatters those of athletic or petite figure more than a full figure. i am 5' 6"" 110#. my usual size is xs. the top looks small to me at first so i tried both size xs and s. i took the xs cause i like it look fitted than loose. i wear this top with high waist fitted skirts or pants and it looks great. if this top can be an inch lo",Fine gauge
1,"This sweater is super cute and i so wish it worked for me. i am but i must like sweaters a little longer than everyone else because this just hit me at the wrong place. if you're still trying to work off that last little bit of your baby bump  even 2 years removed  this hits right there and emphasizes your waist  at least on me and i'm 5'5"". it's so cute that i might have kept it to see if i could get it to work for me but it still has the ink tag on it so it has to be returned no matter what an",Fine gauge
1,Received a lot of compliments when i wore this sweater. quality is wonderful. only thing i noticed is that it's a little shorter in length then what i was expecting.,Fine gauge
1,The photo does a disservice to this beautiful sweater it is truly special with a lace scallop pattern down the front and across to the back. it is absolutely beautiful!! the sweater is lightweight  perfect for a cool day or in an office on a cold day.. i snapped up the grey and may purchase the green if it goes on sale.(unless they can show this sweater off better i am certain it will.) i am usually right between a small and a medium and needed the medium in this sweater. the small was bit tight,Fine gauge
1,I love this sweater. the green is soft. the fabric is light enough for year round in my area. i thought it might be too young but it works nicely for me. i bought it in two other colors when the package arrived today.,Fine gauge
1,I really love this top. they show it's as a bathing suit cover up in the pics but i will wear mine as a top over a cami. it's beautiful and looks expensive. (it is). had to exchange my usual size for one smaller.,Fine gauge
1,I love the color of this cardigan and the cashmere is very soft. i love the detail in the stitching and how the zipper is covered. i do wish it were a bit longer but it's definitely a keeper.,Fine gauge
1,Very comfortable sweater. the material is very soft and not itchy at all. i had the hardest time deciding between sizes. the medium was slightly longer and loose through the arms. a bit of a boxy shape. the small was slightly more fitted through the arms and instead of hanging straight had a slight fit and flare look to it but still loose. ended up going with a small since it was less boxy. it's a sweater that can look more put together or more laid back just depending on sizing but overall love,Fine gauge
1,I have this in both the black and red. great design. very flattering and soft. the red is the perfect color. will get a lot of west from these for many years.,Fine gauge
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,Material is strange. triangle top is funky. this is just not awesome in any way.,Intimates
-1,You have to be a contortionist to get this bra on. it slips over your head and i needed my 8yo daughter to help me pull it down past my elbows. ridiculously impractical. why oh why didn't heather give it a hook and loop closure instead?,Intimates
-1,This bra runs very small  and is hard to get on and off. i think if i went a size up i would be happier.,Intimates
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,"This nightgown looked so comfy and cute! i ordered a large and it was so uncomfortably tight.i'm 5'3"" and 150lbs. it was such a shame. size large should not just be really a medium!",Intimates
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
0,As a petite  big busted woman  i found this dress wildly unflattering. the quality and pattern of the dress itself is beautiful  though it will require a slip as it is completely transparent. the design of the bust however  i found unflattering.,Intimates
0,I'm a 32-a  and i bought a small. i found that the tube portion is pretty tight  but probably needed to keep things up. because there is not a clasp in the front or back  it is really hard to get in and out of. i'd probably be ok with it  but the cups were too big for me. i think i would need to be a c to fill it.  the quality is really nice and the molded cups are a good shape. i wish i could have made it work  because it was really comfortable. i returned it in the end.,Intimates
0,I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes  the top and bottoms fit overall  but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work  which i am willing to work on s,Intimates
0,If your hips are bigger than a size 6 us you can't fully close this robe. the model must be wearing the larger of the two sizes to have such a nice oversized fit. the fabric is soft and lux and amazing  but the weird dart in the back and the closure is right over my sadly size 8 hips and butt. if i was taller and thinner i would have kept this and worn it every day.,Intimates
0,When ordering this product  i thought it was strange that the mediums were sold out. i went with the small which is generally what i wear. however  these run small and i see why the medium ran out. they are pretty  however  i wish they made them more true to size.,Intimates
0,"The fit is gorgeous  but i didn't realize it was completely transparent. when it says ""mesh"" it means ""mesh""! i was thinking the ""mesh"" part was on the bottom. because of how it is cut  high on the shoulders  you can't wear a cami underneath to provide coverage. very cute  but not practical.",Intimates
0,This is a very nice bra  upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.,Intimates
0,I ordered this in black and white  thinking you can never have enough silk camisoles.     i returned the black because it looked like polyester. the white is actually a cream/ivory  not bright white as pictured. it is also not the best feeling quality  however the fit is good  and true to size.,Intimates
0,I love and live in these but the recent scoop tanks i purchased were thin  not as great. so i want to recommend them because they are really versatile but the quality has deminished.,Intimates
1,"I purchased this sweet little cami in all three colors (the black for some reason only available to order in store). the fabric is luxurious and smooth to the touch! i've purchased other silk shells by eloise and would say this one runs small. i'm 5'2"" 125lbs 34c and and typically wear an xs at retailer. this tank was too tight in the chest and i sized up to a small which fixed the problem. i can't wait to make my jeans and bomber jackets for fall just a little more special with these babies!",Intimates
1,There may be no inner lining  but it is a gorgeous bra! and so comfortable! the straps and well make and sturdy and the detailing is stunning. it is absolutely true to size. 34c fit like a glove. a winner!,Intimates
1,Overall very pretty.,Intimates
1,This is by far the most comfortable bra i've ever owned. i love the convertible strap feature. it's great for shirts with a back cutout.,Intimates
1,I really love this camisole  but it's shorter than i expected.,Intimates
1,I bought these to have a pair between standard fair and sexy  but these are so comfortable and gorgeous i would wear them everyday! it doesn't even feel like i am wearing anything. love these!,Intimates
1,This is different from any bra i've had before  in a good way. the lace over the front is really beautiful  and no annoying straps means it's comfortable! fit and support are both great. i didn't notice that it was silk when i ordered  so it was a nice surprise to open something so luxe and elegant. i wasn't expecting an underwire  either  based on the s-m-l sizing  but it has one.,Intimates
1,This was a gift for a bachelorette. very pretty and sexy without being too over the top. love the print!,Intimates
1,I was so excited to receive this in the mail. it fits true to size and is extremely flattering. so glad that i made this purchase,Intimates
-1,The color is completely off! i loved the way this vest looks in the picture! i was excited to have that vest but unfortunately what i received in the mail was a huge disappointment. it came wrinkled and the brown is not as rich as it is in the picture. very pale. horrible.,Jackets
-1,Read the reviews and thought i would just remove the label asap to prevent snags since i loved the item!   however  the item came with unrepairable holes  not just snags and they are either on the neck or front sleeve which forces me to return the item asap. didn't even try it on. so sad  but i still love retailer!!!,Jackets
-1,This is a beautiful vest. i love the color-blocking  the modern and structured style  and its versatility.  i bought it with a defective item discount because there were some stains. i promptly took it to the dry cleaners and was informed that the black would bleed onto the white paneling if they did a full wash. they spot-cleaned it  and it did bleed. although the tag says to dry clean this baby  the black dye will bleed to the white fabric. i'll be taking it back into the store today for a ref,Jackets
-1,I ordered a small  but it was way to big. it was very soft.,Jackets
-1,The colors on this kimono are amazing and i really loved it  however  i too noticed the 'delicateness' of the material. it is so delicate that parts were starting to fray - including next to the kimono's label. so sad.,Jackets
-1,Love the jacket! so versatile! would probably order up a size if you like a loose fit.,Jackets
-1,I do not understand all the great reviews but that goes to show everyone likes different things! the jacket looks great in the pictures but in person  it just looks awful! gray is one of my favorite colors but this color is so drab and the material looks old and worn. it definitely has a grunge look to it and overall  it is just a wrinkly mess. another reviewer said it looks like old clothes and i have to agree. it looks very shabby. it also reminds me of those smocks they have at the hair salon,Jackets
-1,I purchased this jacket in my local store. size 10 and runs really small . i love the color combination and design but the fabric in my opinion is poor quality. i have seen a lot of retailer use this poly spun knit in so much of their items and the jacket after bringing it home and looking in the light was already showing pilling. looks like it is worn in an bad way. returned the next day. this was a big disappointment and every time i see this fabric being used in retailer clothes it makes me mad.,Jackets
-1,The button fell off when i took it out of the bag  and i noticed that all of the thread had unraveled. will be returning :-(,Jackets
0,"I agree with a previous reviewer who said that it was very nicely cut  but unfortunately  the materials are so cheap. the ""fleece"" material that it is made out of feels like the cheap polyester fleece blankets that you get at the discount stores. it will pill easily  and is noticeable even in the dark color. i must have gotten one shipped straight from the store  and it was already starting to do some gnarly pilling. i do love the cut of it  but i can't justify keeping it because this won't last",Jackets
0,The blazer is boxy and less dressy that it seemed online. i could only really wear this in casual situations  and i was hoping to be able to wear it to work as well. it does have an interesting hemline. the shoulders are a bit too narrow for me (but i do have shoulders on the broader side). i don't hate it  but i don't love it either  but it is interesting enough that i'm going to keep it. i ordered a small.,Jackets
0,I ordered two of these  the grey and ivory. i have had great luck with jackets and blazers from retailer. these were the exception. i just could not pull them off. the quality was great but they had little shape except being a bit boxy. i do have wider hips. maybe these would look better on someone tall and thin? for reference  i am 5'6 and about 138lbs. i ordered smalls and the sizing was perfect for me  the style was just off. i had to return both.,Jackets
0,Slouchy relaxed fit. well sewn together and hangs well on the body. bottom hem hits upper thigh. good length and soft  easy fabric. light layering option as well. good spring jacket  can be kept on indoors without getting too hot.,Jackets
0,"Loved the look of this wool and so well made! problem was it literally would have been better on a bed as a blanket than on my body as a blanket coat. just overwhelmed me and didn't look good. i'm 5/9"" and 160 lbs so i'm no shrinking violet just too heavy of fabric.",Jackets
0,Should have ordered the xl instead of the large. didn't even come close to being able to button the front but i'm a 34 g. i find sanctuary to run small. beautiful soft green color  fabric is soft too. it is cropped to the waist. decided to return instead of reorder.,Jackets
0,The color and design/style are cute but i found this to be too oversized. if you want to layer it  then it might be for you  but i was hoping for more of a tailored look.,Jackets
0,Beautiful sweater coat! love that is easy to pop on & head out. i did have to go to a seamstress and have the button moved as it was to large and boxy around my waist area.,Jackets
0,Looks so cute in the picture  but just didn't really look that flattering on - plus the sleeves were too tight and too long for my short arms so going back....,Jackets
1,Bought one for myself and one for my mom.  we both love it.  super soft. boxy and oversized but great for layering over a belted tunic.,Jackets
1,I love this jacket! it is stylish and is ideal for a casual night out,Jackets
1,"Great jacket for night time in the south this time of year ... very nice fabric  great classic style with a little twist... love retailerplogy ... being an older female  sometimes things can look boring ....i love to dress in fun clothes ... finding something that will work for all ages and that is a ""little out side the lines "" is very nice!!!!",Jackets
1,"Denim  faux fur  flannel... hooray! i absolutely love this jacket and i'll wear it all winter (even under my warmer winter coat). i'm 5'6""/130 and usually a 2-4 in retailer and the small in this coat was plenty big in the waist/chest and even had room underneath to add a second shirt or light sweater. it seems a little shorter on me than in the photo... maybe that's the only drawback.",Jackets
1,Many thanks to all previous reviewers that convinced me to try this blazer. i bought it in navy and it is absolutely perfect. i love its simple lines  softness  and quality of the material. it transitions easily from work to casual. i paired it with mirabella lace top and skinny jeans for a look that is both practical and beautiful.,Jackets
1,I bought this jacket recently and i actually had been watching it in my retailer. store  but  they didn&#39;t have my size.  someone must have returned a size small and i scooped it up.  i probably would have bought the xs but  it was gone.  i went with it a little oversized and love it!  great quality and workmanship on the embroidery.   more like the items that retailer used to sell in 2004 and 2005!  super cute  love it!,Jackets
1,As other reviewers have pointed out  this jacket is way prettier in person than it is in the photos. i can wear it with just about anything. the fabric is soft and lightweight  and drapes really nicely. my only complaint is the photos make the taupe jacket look like it has just a hint of peach/mauve  but in person it's a pretty standard beige. i would have liked that hint of color.,Jackets
1,"This is my first demin jacket ever as all the ones i ever tried were too stiff  and far too boxy and long on me. i need to thank all the reviewers who helped me take the plunge. . got the size xs regular which is only slightly snug at bust when buttoned and a tiny bit long in the arm for me (5'2""  currently 33-25-37 with narrow shoulders and torso). very flattering look. if this jacket comes out in a new darker wash version i will definitely also try a petite size s. . the one i got in the mail",Jackets
1,I first saw this jacket hanging at the store and it didn't look very cute. i saw it again on sale so i decided to try it on. i'm so glad i did! the inside gray material is so soft. i have broad shoulders and this jacket did not hinder my arms at all. it is very comfortable. i bought the x-small and was very surprised at how roomy it was. the sleeves are a tad bit long but the gray inner lining has an elastic cuff so it can be pushed up. not sure if the xx-small would've been too small or if the,Jackets
-1,So disappointed. bought these in a 29 and should've gone with a 28. they're super cute - i got the green. the fit is off. like the other reviews  they stretch out way too much. i would return these but have already washed them. they wash terribly  too. there are weird fading marks all over  even when washed in cold water like the tag states. so disappointed that i spent my gift card from christmas on these. i've been a loyal retailer customer for years and this is the first time i've been severely,Jeans
